country,city,region,type,size,sports,percentage,Links,logo,Music,University
Japan,Sapporo,Asia,Public,L,Football,C,https://www.topuniversities.com/universities/hokkaido-university,https://www.topuniversities.com/sites/default/files/hokkaido-university_266_small.jpg,YES,Hokkaido University
Belgium,Ghent,Europe,Public,XL,Cricket,B,https://www.topuniversities.com/universities/ghent-university,https://www.topuniversities.com/sites/default/files/ghent-university_228_small.jpg,YES,Ghent University
United States,College Park,North America,Public,XL,Cricket,E,https://www.topuniversities.com/universities/university-maryland-college-park,https://www.topuniversities.com/sites/default/files/university-of-maryland-college-park_393_small.jpg,YES,"University of Maryland, College Park"
Malaysia,Kuala Lumpur,Asia,Public,L,Football,E,https://www.topuniversities.com/universities/universiti-malaya-um,https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_small.jpg,YES,Universiti Malaya (UM)
Finland,Espoo,Europe,Public,L,Football,E,https://www.topuniversities.com/universities/aalto-university,https://www.topuniversities.com/sites/default/files/aalto-university_261_small.jpg,YES,Aalto University
Japan,Fukuoka City,Asia,Public,L,Football,A,https://www.topuniversities.com/universities/kyushu-university,https://www.topuniversities.com/sites/default/files/kyushu-university_331_small.jpg,YES,Kyushu University
United States,Los Angeles,North America,Private,XL,Cricket,D,https://www.topuniversities.com/universities/university-southern-california,https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_small.jpg,YES,University of Southern California
United States,Minneapolis,North America,Public,XL,Cricket,D,https://www.topuniversities.com/universities/university-minnesota-twin-cities,https://www.topuniversities.com/sites/default/files/university-of-minnesota_408_small.jpg,YES,University of Minnesota Twin Cities
Switzerland,Lausanne,Europe,Public,L,Football,B,https://www.topuniversities.com/universities/university-lausanne,https://www.topuniversities.com/sites/default/files/university-of-lausanne_592560cf2aeae70239af4bd3_small.jpg,YES,University of Lausanne
Sweden,Gothenburg,Europe,Private,M,VollyBall,A,https://www.topuniversities.com/universities/chalmers-university-technology,https://www.topuniversities.com/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg,NO,Chalmers University of Technology
United Kingdom,Cardiff,Europe,Public,L,Football,C,https://www.topuniversities.com/universities/cardiff-university,https://www.topuniversities.com/sites/default/files/cardiff-university_592560cf2aeae70239af4ae6_small.jpg,YES,Cardiff University
France,Paris,Europe,Public,XL,Cricket,D,https://www.topuniversities.com/universities/universite-pierre-et-marie-curie-upmc,https://www.topuniversities.com/sites/default/files/universit-pierre-et-marie-curie-upmc_487_small.jpg,YES,Universitas© Pierre et Marie Curie (UPMC)
Switzerland,Basel,Europe,Public,M,VollyBall,C,https://www.topuniversities.com/universities/university-basel,https://www.topuniversities.com/sites/default/files/university-of-basel_46_small.jpg,NO,University of Basel
United Kingdom,Aberdeen,Europe,Public,L,Football,B,https://www.topuniversities.com/universities/university-aberdeen,https://www.topuniversities.com/sites/default/files/university-of-aberdeen_592560cf2aeae70239af4a8b_small.jpg,YES,University of Aberdeen
Netherlands,Rotterdam,Europe,Public,L,Football,B,https://www.topuniversities.com/universities/erasmus-university-rotterdam,https://www.topuniversities.com/sites/default/files/erasmus-university-rotterdam_190_small.jpg,YES,Erasmus University Rotterdam 
United States,Pittsburgh,North America,Public,L,Football,E,https://www.topuniversities.com/universities/university-pittsburgh,https://www.topuniversities.com/sites/default/files/university-of-pittsburgh_500_small.jpg,YES,University of Pittsburgh
Germany,Aachen,Europe,Public,XL,Cricket,C,https://www.topuniversities.com/universities/rwth-aachen-university,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,YES,RWTH Aachen University
Chile,Santiago,Latin America,Private,L,Football,A,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg,YES,Pontificia Universidad CatÃ³lica de Chile (UC)
Israel,Jerusalem,Asia,Public,L,Football,D,https://www.topuniversities.com/universities/hebrew-university-jerusalem,https://www.topuniversities.com/sites/default/files/the-hebrew-university-of-jerusalem_256_small.jpg,YES,The Hebrew University of Jerusalem
Canada,Hamilton,North America,Public,L,Football,C,https://www.topuniversities.com/universities/mcmaster-university,https://www.topuniversities.com/sites/default/files/mcmaster-university_397_small.jpg,YES,McMaster University
